"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"1",1,"Walmart","1","$500,343 ","3.00%","$9,862.00 ","-27.70%","$204,522 ","$263,563 ","2,300,000","Douglas McMillon","President, Chief Executive Officer &  Director","Retailing","General Merchandisers","24","Bentonville","AR",36.3728538,-94.2088172,"male","WMT"
"2",2,"Exxon Mobil","4","$244,363 ","17.40%","$19,710.00 ","151.40%","$348,691 ","$316,157 ","71,200","Darren Woods","Chairman &  Chief Executive Officer","Energy","Petroleum Refining","24","Irving","TX",32.8140177,-96.9488945,"male","XOM"
"3",3,"Berkshire Hathaway","2","$242,137 ","8.30%","$44,940.00 ","86.70%","$702,095 ","$492,008 ","377,000","Warren Buffett","Chairman, President &  Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","24","Omaha","NE",41.2565369,-95.9345034,"male","BRK.A"
"4",4,"Apple","3","$229,234 ","6.30%","$48,351.00 ","5.80%","$375,319 ","$851,318 ","123,000","Timothy Cook","Chairman &  Chief Executive Officer","Technology","Computers, Office Equipment","24","Cupertino","CA",37.3229978,-122.0321823,"male","AAOI"
"5",5,"UnitedHealth Group","6","$201,159 ","8.80%","$10,558.00 ","50.50%","$139,058 ","$207,080 ","260,000","David Wichmann","Chairman &  Chief Executive Officer","Health Care","Health Care: Insurance and Managed Care","24","Minnetonka","MN",44.9211836,-93.4687489,"male","UNH"
"6",6,"McKesson","5","$198,533 ","3.10%","$5,070.00 ","124.50%","$60,969 ","$29,067 ","64,500","John Hammergren","Chairman, President &  Chief Executive Officer","Wholesalers","Wholesalers: Health Care","24","SF","CA",37.7749295,-122.4194155,"male","MCK"
"7",7,"CVS Health","7","$184,765 ","4.10%","$6,622.00 ","24.50%","$95,131 ","$63,114 ","203,000","Larry Merlo","President, Chief Executive Officer &  Director","Health Care","Health Care: Pharmacy and Other Services","24","Woonsocket","RI",42.0028761,-71.5147839,"male","CVS"
"8",8,"Amazon.com","12","$177,866 ","30.80%","$3,033.00 ","27.90%","$131,310 ","$700,668 ","566,000","Jeffrey Bezos","Chairman, President &  Chief Executive Officer","Retailing","Internet Services and Retailing","17","Seattle","WA",47.6062095,-122.3320708,"male","AMZN"
"9",9,"AT&T","9","$160,546 ","-2.00%","$29,450.00 ","127.00%","$444,097 ","$218,946 ","254,000","Randall Stephenson","Chairman, President &  Chief Executive Officer","Telecommunications","Telecommunications","24","Dallas","TX",32.7766642,-96.7969879,"male","TATT"
"10",10,"General Motors","8","$157,311 ","-5.50%","($3,864.00)","-141.00%","$212,482 ","$50,972 ","180,000","Mary Barra","Chairman &  Chief Executive Officer","Motor Vehicles &  Parts","Motor Vehicles and Parts","24","Detroit","MI",42.331427,-83.0457538,"female","GM"
"11",11,"Ford Motor","10","$156,776 ","3.30%","$7,602.00 ","65.40%","$257,808 ","$44,244 ","202,000","James Hackett","President, Chief Executive Officer &  Director","Motor Vehicles &  Parts","Motor Vehicles and Parts","24","Dearborn","MI",42.3222599,-83.1763145,"male","F"
"12",12,"AmerisourceBergen","11","$153,144 ","4.30%","$364.50 ","-74.50%","$35,317 ","$18,938 ","19,500","Steven Collis","Chairman, President &  Chief Executive Officer","Wholesalers","Wholesalers: Health Care","24","Chesterbrook","PA",40.0756627,-75.4590816,"male","ABC"
"13",13,"Chevron","19","$134,533 ","25.10%","$9,195.00 ","-","$253,806 ","$217,845 ","51,900","Michael Wirth","Chairman &  Chief Executive Officer","Energy","Petroleum Refining","24","San Ramon","CA",37.7799273,-121.9780153,"male","CVX"
"14",14,"Cardinal Health","15","$129,976 ","6.90%","$1,288.00 ","-9.70%","$40,112 ","$19,726 ","40,400","Michael Kaufmann","Chairman &  Chief Executive Officer","Wholesalers","Wholesalers: Health Care","24","Dublin","OH",40.0992294,-83.1140771,"male","CAH"
"15",15,"Costco","16","$129,025 ","8.70%","$2,679.00 ","14.00%","$36,347 ","$82,687 ","182,000","Craig Jelinek","President, Chief Executive Officer &  Director","Retailing","General Merchandisers","24","Issaquah","WA",47.5301011,-122.0326191,"male","COST"
"16",16,"Verizon","14","$126,034 ","0.00%","$30,101.00 ","129.30%","$257,143 ","$197,497 ","155,400","Lowell McAdam","Chairman &  Chief Executive Officer","Telecommunications","Telecommunications","24","New York","NY",40.7127753,-74.0059728,"male","VERI"
"17",17,"Kroger","18","$122,662 ","6.40%","$1,907.00 ","-3.40%","$37,197 ","$20,828 ","449,000","Rodney McMullen","Chairman &  Chief Executive Officer","Food &  Drug Stores","Food and Drug Stores","24","Cincinnati","OH",39.1031182,-84.5120196,"male","KR"
"18",18,"General Electric","13","$122,274 ","-3.50%","($5,786.00)","-165.50%","$377,945 ","$117,054 ","313,000","John Flannery Jr","Chairman &  Chief Executive Officer","Industrials","Industrial Machinery","24","Boston","MA",42.3600825,-71.0588801,"male","GE"
"19",19,"Walgreens Boots Alliance","17","$118,214 ","0.70%","$4,078.00 ","-2.30%","$66,009 ","$64,924 ","290,000","Stefano Pessina","Vice Chairman &  Chief Executive Officer","Food &  Drug Stores","Food and Drug Stores","24","Deerfield","IL",42.1711365,-87.8445119,"male","WBA"
"20",20,"JPMorgan Chase","21","$113,899 ","8.00%","$24,441.00 ","-1.20%","$2,533,600 ","$375,043 ","252,539","James Dimon","Chairman &  Chief Executive Officer","Financials","Commercial Banks","24","New York","NY",40.7127753,-74.0059728,"male","JPM"
"21",21,"Fannie Mae","20","$112,394 ","4.90%","$2,463.00 ","-80.00%","$3,345,529 ","$1,633 ","7,200","Timothy Mayopoulos","President, Chief Executive Officer &  Director","Financials","Diversified Financials","21","Leavenworth","WA",47.7510741,-120.7401385,"male",NA
"22",22,"Alphabet","27","$110,855 ","22.80%","$12,662.00 ","-35.00%","$197,295 ","$719,124 ","80,110","Larry Page","Chief Executive Officer &  Director","Technology","Internet Services and Retailing","13","Mountain View","CA",37.3860517,-122.0838511,"male","GOOG"
"23",23,"Home Depot","23","$100,904 ","6.70%","$8,630.00 ","8.50%","$44,529 ","$206,272 ","413,000","Craig Menear","Chairman, President &  Chief Executive Officer","Retailing","Specialty Retailers: Other","24","Atlanta","GA",33.7489954,-84.3879824,"male","HD"
"24",24,"Bank of America Corp.","26","$100,264 ","7.00%","$18,232.00 ","1.80%","$2,281,234 ","$306,618 ","209,376","Brian Moynihan","Chairman, President &  Chief Executive Officer","Financials","Commercial Banks","24","Charlotte","NC",35.2270869,-80.8431267,"male","BKSC"
"25",25,"Express Scripts Holding","22","$100,065 ","-0.20%","$4,517.40 ","32.70%","$54,256 ","$38,791 ","26,600","Timothy Wentworth","President, Chief Executive Officer &  Director","Health Care","Health Care: Pharmacy and Other Services","19","St. Louis","MO",38.6270025,-90.1994042,"male",NA
"26",26,"Wells Fargo","25","$97,741 ","3.80%","$22,183.00 ","1.10%","$1,951,757 ","$255,556 ","262,700","Timothy Sloan","President, Chief Executive Officer &  Director","Financials","Commercial Banks","24","SF","CA",37.7749295,-122.4194155,"male","EAD"
"27",27,"Boeing","24","$93,392 ","-1.20%","$8,197.00 ","67.50%","$92,333 ","$192,539 ","140,800","Dennis Muilenburg","Chairman, President &  Chief Executive Officer","Aerospace &  Defense","Aerospace and Defense","24","Chicago","IL",41.8781136,-87.6297982,"male","WIFI"
"28",28,"Phillips 66","34","$91,568 ","26.50%","$5,106.00 ","228.40%","$54,371 ","$44,730 ","14,600","Greg Garland","Chairman &  Chief Executive Officer","Energy","Petroleum Refining","6","Houston","TX",29.7604267,-95.3698028,"male","PSX"
"29",29,"Anthem","29","$90,040 ","6.10%","$3,842.80 ","55.60%","$70,540 ","$56,182 ","56,000","Gail Boudreaux","President, Chief Executive Officer &  Director","Health Care","Health Care: Insurance and Managed Care","24","Indianapolis","IN",39.768403,-86.158068,"female","ANTM"
"30",30,"Microsoft","28","$89,950 ","5.40%","$21,204.00 ","26.20%","$241,086 ","$702,760 ","124,000","Satya Nadella","Chief Executive Officer &  Director","Technology","Computer Software","24","Redmond","WA",47.6739881,-122.121512,"male","MSFT"
